clade	inclusive_count	exclusive_count
B.31	270	270
B.32	37	37
B.33	2087	1379
B.34	75	75
B.35	86	86
B.37	5	5
B.38	2	2
B.39	503	426
B.4	305	180
B.4.4	30	30
B.4.5	70	70
B.4.7	18	18
B.4.8	7	7
B.40	2594	2516
B.41	7	7
B.42	6	6
B.43	22	22
B.45	268	268
B.46	48	48
B.47	50	50
B.5	18	18
B.51	20	20
B.52	89	89
B.55	321	199
B.57	68	68
B.58	77	77
B.6	302	285
B.6.6	17	17
B.60	78	78
B.61	2742	148
BA.1	1100606	235171
BA.1.1	550268	439568
BA.1.1.1	19009	18786
BA.1.1.10	995	995
BA.1.1.11	3109	3109
BA.1.1.12	4334	4334
BA.1.1.13	8492	8492
BA.1.1.14	13607	13607
BA.1.1.15	14953	14953
BA.1.1.16	783	783
BA.1.1.17	286	286
BA.1.1.18	36063	36063
BA.1.1.2	4090	4090
BA.1.1.3	359	359
BA.1.1.4	1824	1824
BA.1.1.5	2	2
BA.1.1.6	71	71
BA.1.1.7	303	303
BA.1.1.8	721	721
BA.1.1.9	1557	1557
BA.1.10	2130	2130
BA.1.12	2860	2860
BA.1.13	985	960
BA.1.13.1	25	25
BA.1.14	3061	2658
BA.1.14.1	317	317
BA.1.14.2	86	86
BA.1.15	100849	68525
BA.1.15.1	30794	30794
BA.1.15.2	1406	1406
BA.1.15.3	39	39
BA.1.16	11646	11582
BA.1.16.1	42	42
BA.1.16.2	22	22
BA.1.17	152528	21146
BA.1.17.1	11	11
BA.1.17.2	131371	126252
BA.1.18	20294	20294
BA.1.19	2006	2006
BA.1.20	15177	15177
BA.1.21	1462	1345
BA.1.21.1	117	117
BA.1.23	17	17
BA.1.3	11	11
BA.1.4	37	37
BA.1.5	513	513
BA.1.6	90	90
BA.1.7	720	720
BA.1.8	689	689
BA.1.9	92	92
BA.1_dropout	1100609	3
BA.2	2650749	713291
BA.2.1	14472	14472
BA.2.10	384925	21702
BA.2.10.1	363053	2750
BA.2.10.2	59	59
BA.2.10.3	92	92
BA.2.10.4	19	19
BA.2.11	152	152
BA.2.12	171421	4043
BA.2.12.1	167244	165455
BA.2.12.2	53	53
BA.2.13	2746	2060
BA.2.13.1	686	686
BA.2.14	1322	1322
BA.2.15	96	96
BA.2.16	550	550
BA.2.17	82	82
BA.2.18	7761	7761
BA.2.19	515	515
BA.2.2	686	628
BA.2.2.1	58	58
BA.2.20	563	563
BA.2.21	862	862
BA.2.22	2034	2034
BA.2.23	16348	15358
BA.2.23.1	990	990
BA.2.24	80	80
BA.2.25	268	211
BA.2.25.1	57	57
BA.2.26	905	905
BA.2.27	42	42
BA.2.28	70	70
BA.2.29	73	73
BA.2.3	49292	41855
BA.2.3.1	116	116
BA.2.3.10	185	185
BA.2.3.11	146	146
BA.2.3.12	133	133
BA.2.3.13	69	69
BA.2.3.14	143	143
BA.2.3.15	433	433
BA.2.3.16	11	11
BA.2.3.17	1657	1657
BA.2.3.18	3	3
BA.2.3.2	588	588
BA.2.3.20	2609	1025
BA.2.3.21	3	3
BA.2.3.22	10	10
BA.2.3.4	427	427
BA.2.3.5	156	156
BA.2.3.6	309	309
BA.2.3.7	81	81
BA.2.3.9	270	270
BA.2.3.9_rev10198	20	20
BA.2.30	38	38
BA.2.31	694	694
BA.2.31.1	142	142
BA.2.32	564	564
BA.2.33	5	5
BA.2.34	108	108
BA.2.35	78	78
BA.2.36	4180	4180
BA.2.37	6119	6119
BA.2.38	1572	1422
BA.2.38.1	65	65
BA.2.38.2	16	16
BA.2.38.3	65	3
BA.2.38.4	4	4
BA.2.39	779	779
BA.2.4	120	120
BA.2.40	570	5
BA.2.40.1	565	565
BA.2.41	1618	1618
BA.2.42	140	140
BA.2.43	66	66
BA.2.44	288	288
BA.2.45	163	163
BA.2.46	204	204
BA.2.47	1088	1088
BA.2.48	1351	1351
BA.2.49	750	750
BA.2.5	1549	1549
BA.2.50	820	820
BA.2.51	264	264
BA.2.52	610	610
BA.2.53	280	280
BA.2.54	284	284
BA.2.55	203	203
BA.2.56	850	850
BA.2.57	48	48
BA.2.58	20	20
BA.2.59	82	82
BA.2.6	783	783
BA.2.60	39	39
BA.2.61	17	17
BA.2.62	34	34
BA.2.63	95	95
BA.2.64	140	140
BA.2.65	1152	1152
BA.2.66	29	29
BA.2.67	286	286
BA.2.68	106	106
BA.2.69	7	7
BA.2.7	3048	3048
BA.2.70	115	115
BA.2.71	111	111
BA.2.72	637	637
BA.2.73	466	466
BA.2.74	205	205
BA.2.75	62656	702
BA.2.75.1	1290	547
BA.2.75.10	17	17
BA.2.75.2	2522	1507
BA.2.75.2_no5192	20	7
BA.2.75.3	34053	117
BA.2.75.4	1464	96
BA.2.75.5	21513	534
BA.2.75.6	3013	23
BA.2.75.7	59	37
BA.2.75.9	222	8
BA.2.75_dropout	62664	8
BA.2.76	706	706
BA.2.77	15	15
BA.2.78	65	65
BA.2.79	74	71
BA.2.79.1	3	3
BA.2.8	7712	7712
BA.2.80	25	25
BA.2.81	60	60
BA.2.82	21	21
BA.2.83	7	7
BA.2.86	24032	85
BA.2.86.1	23440	2931
BA.2.86.2	151	151
BA.2.86.3	280	112
BA.2.86.4	20	20
BA.2.86.5	56	56
BA.2.86_dropout	24058	26
BA.2.9	123439	120163
BA.2.9.1	782	782
BA.2.9.2	594	594
BA.2.9.3	1035	1035
BA.2.9.4	79	79
BA.2.9.5	210	210
BA.2.9.6	217	217
BA.2.9.7	359	359
BA.2_17079_27945	12	12
BA.2_21765_no22792	2405	1899
BA.2_22792_27945	3202	3202
BA.2_25416_27945	20	20
BA.2_dropout	2651175	264
BA.3	162	78
BA.3.1	84	84
BA.4	1017071	18048
BA.4.1	36101	31766
BA.4.1.1	1479	1479
BA.4.1.10	76	69
BA.4.1.11	103	103
BA.4.1.2	40	40
BA.4.1.3	67	67
BA.4.1.4	90	90
BA.4.1.5	45	45
BA.4.1.6	867	867
BA.4.1.8	1325	1325
BA.4.1.9	243	243
BA.4.2	2768	2768
BA.4.3	53	53
BA.4.4	4123	4123
BA.4.5	96	96
BA.4.6	33230	29460
BA.4.6.1	872	872
BA.4.6.2	87	87
BA.4.6.3	313	313
BA.4.6.4	102	102
BA.4.6.5	2396	2286
BA.4.7	836	836
BA.4.8	1017078	7
BA.4_dropout	1017806	441
BA.5	920375	9315
BA.5.1	169191	96744
BA.5.1.1	6870	6870
BA.5.1.10	7700	6529
BA.5.1.11	531	531
BA.5.1.12	714	714
BA.5.1.15	50	50
BA.5.1.15_no10183	525	366
BA.5.1.16	95	95
BA.5.1.17	675	675
BA.5.1.18	1540	1540
BA.5.1.19	233	233
BA.5.1.2	3445	3445
BA.5.1.20	71	71
BA.5.1.21	999	586
BA.5.1.22	8072	7967
BA.5.1.23	6636	6434
BA.5.1.24	3272	3229
BA.5.1.25	2710	2563
BA.5.1.26	244	238
BA.5.1.27	1854	1854
BA.5.1.28	146	146
BA.5.1.29	1403	2
BA.5.1.3	5611	5611
BA.5.1.30	7936	7936
BA.5.1.31	74	74
BA.5.1.32	48	48
BA.5.1.33	662	592
BA.5.1.34	1137	1137
BA.5.1.35	1159	992
BA.5.1.36	88	88
BA.5.1.37	40	40
BA.5.1.38	12	12
BA.5.1.4	879	879
BA.5.1.5	4200	4200
BA.5.1.6	1872	1872
BA.5.1.7	366	366
BA.5.1.8	41	41
BA.5.1.9	460	460
BA.5.10	1361	461
BA.5.10.1	900	51
BA.5.11	1730	1730
BA.5.12	168	168
BA.5.1_no27438	169320	129
BA.5.1_no29666	356	356
BA.5.2	400469	90044
BA.5.2.1	239928	121546
BA.5.2.10	26	26
BA.5.2.11	6	6
BA.5.2.12	97	97
BA.5.2.13	2330	2330
BA.5.2.14	197	197
BA.5.2.16	1404	570
BA.5.2.18	1399	471
BA.5.2.19	585	585
BA.5.2.2	1127	1127
BA.5.2.20	8864	8755
BA.5.2.21	5638	4779
BA.5.2.22	1500	1500
BA.5.2.23	1037	1037
BA.5.2.24	3494	122
BA.5.2.25	556	388
BA.5.2.26	1713	1498
BA.5.2.27	1124	1049
BA.5.2.28	1171	1171
BA.5.2.29	270	270
BA.5.2.3	4944	4696
BA.5.2.30	186	186
BA.5.2.31	980	818
BA.5.2.32	77	77
BA.5.2.33	724	484
BA.5.2.34	2419	2419
BA.5.2.35	2580	2580
BA.5.2.36	157	123
BA.5.2.37	164	164
BA.5.2.38	49	15
BA.5.2.39	106	106
BA.5.2.4	166	166
BA.5.2.40	4	4
BA.5.2.41	16	16
BA.5.2.43	23	23
BA.5.2.44	194	194
BA.5.2.45	6	6
BA.5.2.46	9	9
BA.5.2.47	476	289
BA.5.2.48	5743	971
BA.5.2.49	295	229
BA.5.2.5	5	5
BA.5.2.50	45	45
BA.5.2.51	11	11
BA.5.2.52	196	196
BA.5.2.53	320	320
BA.5.2.54	113	113
BA.5.2.55	7	7
BA.5.2.56	132	132
BA.5.2.57	343	343
BA.5.2.58	503	503
BA.5.2.59	292	292
BA.5.2.6	4371	3381
BA.5.2.60	70	70
BA.5.2.61	32	32
BA.5.2.62	133	133
BA.5.2.63	16	16
BA.5.2.7	1211	1173
BA.5.2.8	479	479
BA.5.2.9	9739	9739
BA.5.2_quad_22599T	18	18
BA.5.3	264871	2136
BA.5.3.1	258019	2592
BA.5.3.2	1670	1670
BA.5.3.3	2109	2109
BA.5.3.4	604	604
BA.5.3.5	333	333
BA.5.5	39395	36807
BA.5.5.1	1430	1430
BA.5.5.2	683	683
BA.5.5.3	475	475
BA.5.6	24693	22693
BA.5.6.1	156	156
BA.5.6.2	1585	688
BA.5.6.3	186	186
BA.5.6.4	73	73
BA.5.7	24	24
BA.5.8	3082	3082
BA.5.9	4736	4736
BA.5_dropout	921716	1341
BB.2	298	298
BC.1	218	218
BC.2	5	5
BD.1	5119	5119
BE.1	18365	14496
BE.1.1	226834	30506
BE.1.1.1	192751	1510
BE.1.1.2	3577	3456
BE.1.2	1296	683
BE.1.2.1	613	611
BE.1.3	398	398
BE.1.4	2175	1619
BE.1.4.1	193	193
BE.1.4.2	284	284
BE.1.4.3	11	11
BE.1.4.4	68	68
BE.10	248	248
BE.11	23	23
BE.12	330	330
BE.13	48	48
BE.2	904	904
BE.3	5644	5644
BE.4	2207	580
BE.4.1	1347	261
BE.4.1.1	1086	156
BE.4.2	280	280
BE.5	474	474
BE.6	36	36
BE.7	73	73
BE.8	50	50
BE.9	186	186
BE.9_alt	5	5
BF.1	6037	5798
BF.1.1	239	239
BF.10	13161	13100
BF.10.1	61	61
BF.11	6788	4535
BF.11.1	617	617
BF.11.2	782	782
BF.11.3	172	172
BF.11.4	304	304
BF.11.5	378	378
BF.12	148	148
BF.13	1289	1289
BF.14	2501	2501
BF.15	285	285
BF.16	392	392
BF.17	17	17
BF.18	54	54
BF.19	52	52
BF.2	917	917
BF.20	145	145
BF.21	4067	4067
BF.22	132	132
BF.23	85	85
BF.24	47	47
BF.25	482	482
BF.26	6758	6758
BF.27	4329	4329
BF.28	5146	5146
BF.29	269	269
BF.3	648	531
BF.3.1	34	34
BF.30	116	116
BF.31	180	101
BF.31.1	79	79
BF.32	397	397
BF.34	62	62
BF.35	2	2
BF.36	897	897
BF.38	67	64
BF.38.3	3	3
BF.39	831	822
BF.39.1	9	9
BF.4	2275	2275
BF.40	86	86
BF.41	301	285
BF.41.1	16	16
BF.5	14988	14771
BF.5.1	10	10
BF.5.2	12	12
BF.5.4	14	14
BF.5.5	134	134
BF.6	1353	1353
BF.7	39669	20545
BF.7.1	149	149
BF.7.10	145	145
BF.7.11	69	69
BF.7.12	77	77
BF.7.13	113	8
BF.7.13.1	24	24
BF.7.13.2	81	81
BF.7.14	3292	2295
BF.7.14.1	321	321
BF.7.14.2	47	47
BF.7.14.3	39	39
BF.7.14.4	205	205
BF.7.14.5	243	243
BF.7.14.6	74	74
BF.7.14.7	68	68
BF.7.15	59	59
BF.7.16	49	49
BF.7.17	36	36
BF.7.18	9	9
BF.7.19	508	487
BF.7.19.1	21	21
BF.7.2	191	191
BF.7.20	911	911
BF.7.21	752	752
BF.7.22	665	665
BF.7.23	420	420
BF.7.24	759	759
BF.7.26	174	174
BF.7.27	272	272
BF.7.3	127	127
BF.7.4	4939	2857
BF.7.4.1	1801	1801
BF.7.4.2	281	281
BF.7.5	3142	2895
BF.7.5.1	247	247
BF.7.6	1575	1575
BF.7.7	516	516
BF.7.8	146	146
BF.7.9	29	29
BF.8	3279	3279
BF.9	177	177
BG.1	31	31
BG.2	730	730
BG.3	11	11
BG.4	45	45
BG.5	972	972
BH.1	62	62
BJ.1	9	9
BK.1	1171	1171
BL.1	502	443
BL.1.1	4	4
BL.1.2	5	5
BL.1.3	19	19
BL.1.4	25	25
BL.1.5	6	6
BL.2	127	127
BL.3	33	33
BL.4	24	24
BL.5	26	26
BL.6	31	31
BM.1	22	22
BM.1.1	4772	236
BM.1.1.1	3528	75
BM.1.1.2	12	12
BM.1.1.3	922	709
BM.1.1.4	44	31
BM.1.1.5	30	30
BM.2	72	17
BM.2.1	22	22
BM.2.3	3	3
BM.3	3	3
BM.4	33838	4
BM.4.1	33834	8
BM.4.1.1	33826	283
BM.5	18	18
BM.6	2	2
BN.1	20322	2431
BN.1.1	255	168
BN.1.1.1	87	87
BN.1.10	85	85
BN.1.11	7	7
BN.1.2	3514	1562
BN.1.2.1	636	636
BN.1.2.2	91	91
BN.1.2.3	1042	257
BN.1.2.4	60	60
BN.1.2.5	14	14
BN.1.2.6	63	63
BN.1.2.7	32	32
BN.1.2.8	14	14
BN.1.3	8377	3361
BN.1.3.1	3776	2817
BN.1.3.10	5	5
BN.1.3.11	4	4
BN.1.3.12	134	134
BN.1.3.13	6	6
BN.1.3.2	19	19
BN.1.3.3	94	94
BN.1.3.4	10	10
BN.1.3.5	206	206
BN.1.3.6	420	420
BN.1.3.7	151	151
BN.1.3.8	165	32
BN.1.3.9	26	26
BN.1.4	2127	605
BN.1.4.1	175	175
BN.1.4.2	192	192
BN.1.4.3	204	204
BN.1.4.4	837	837
BN.1.4.5	114	114
BN.1.5	2518	2431
BN.1.5.2	87	87
BN.1.6	17	17
BN.1.7	773	773
BN.1.8	8	8
BN.1.9	210	210
BN.2	41	13
BN.2.1	28	28
BN.3	419	16
BN.3.1	403	403
BN.4	9	9
BN.5	72	72
BN.6	116	116
BQ.1	191138	10936
BQ.1.1	125516	64575
BQ.1.1.1	2206	2062
BQ.1.1.10	1159	1028
BQ.1.1.11	214	209
BQ.1.1.12	5	5
BQ.1.1.13	4138	617
BQ.1.1.14	63	55
BQ.1.1.15	954	915
BQ.1.1.16	57	57
BQ.1.1.17	172	172
BQ.1.1.18	3155	2604
BQ.1.1.19	354	354
BQ.1.1.2	3283	2277
BQ.1.1.20	2991	2991
BQ.1.1.21	96	96
BQ.1.1.22	1383	988
BQ.1.1.23	1133	1133
BQ.1.1.24	903	903
BQ.1.1.25	58	58
BQ.1.1.26	155	155
BQ.1.1.27	269	269
BQ.1.1.28	911	875
BQ.1.1.29	279	279
BQ.1.1.3	3455	3141
BQ.1.1.30	25	25
BQ.1.1.31	458	458
BQ.1.1.32	2744	1936
BQ.1.1.34	55	55
BQ.1.1.35	584	394
BQ.1.1.36	116	116
BQ.1.1.37	41	41
BQ.1.1.38	254	60
BQ.1.1.39	95	90
BQ.1.1.4	4795	3604
BQ.1.1.40	407	407
BQ.1.1.41	1184	1184
BQ.1.1.42	263	263
BQ.1.1.43	335	292
BQ.1.1.44	22	22
BQ.1.1.45	559	559
BQ.1.1.46	66	66
BQ.1.1.46_25406	260	44
BQ.1.1.47	256	256
BQ.1.1.48	123	123
BQ.1.1.49	11	11
BQ.1.1.5	5405	2465
BQ.1.1.51	989	989
BQ.1.1.52	897	595
BQ.1.1.53	198	60
BQ.1.1.54	378	378
BQ.1.1.55	21	21
BQ.1.1.56	192	192
BQ.1.1.57	357	357
BQ.1.1.58	105	105
BQ.1.1.59	49	49
BQ.1.1.6	1126	1126
BQ.1.1.60	71	71
BQ.1.1.61	65	65
BQ.1.1.62	34	34
BQ.1.1.63	387	387
BQ.1.1.64	13	13
BQ.1.1.65	320	279
BQ.1.1.66	149	149
BQ.1.1.67	439	439
BQ.1.1.68	981	981
BQ.1.1.69	1870	1870
BQ.1.1.7	1729	1608
BQ.1.1.70	12	12
BQ.1.1.71	144	132
BQ.1.1.72	259	253
BQ.1.1.74	95	32
BQ.1.1.76	9	9
BQ.1.1.77	63	63
BQ.1.1.78	3	3
BQ.1.1.79	29	29
BQ.1.1.8	2224	2205
BQ.1.1.9	23	23
BQ.1.10	4393	3036
BQ.1.10.1	1149	711
BQ.1.10.2	179	179
BQ.1.10.3	29	29
BQ.1.11	2836	2800
BQ.1.11.1	36	36
BQ.1.12	3885	3885
BQ.1.13	3102	1650
BQ.1.13.1	1452	1452
BQ.1.14	2977	2977
BQ.1.15	1024	1007
BQ.1.15.1	8	8
BQ.1.15.2	9	9
BQ.1.16	204	204
BQ.1.17	88	88
BQ.1.18	1909	1909
BQ.1.19	19	19
BQ.1.2	5996	4916
BQ.1.2.1	318	213
BQ.1.2.2	47	14
BQ.1.2.3	715	715
BQ.1.20	135	135
BQ.1.21	337	337
BQ.1.22	134	134
BQ.1.23	1568	1568
BQ.1.24	88	88
BQ.1.25	1910	1005
BQ.1.25.1	902	902
BQ.1.26	489	162
BQ.1.26.1	282	282
BQ.1.26.2	45	45
BQ.1.27	133	133
BQ.1.28	578	578
BQ.1.29	70	70
BQ.1.3	3902	129
BQ.1.3.1	662	662
BQ.1.3.2	3111	3111
BQ.1.30	3	3
BQ.1.31	86	86
BQ.1.32	59	59
BQ.1.33	23	23
BQ.1.4	299	299
BQ.1.5	2155	2155
BQ.1.6	719	719
BQ.1.7	112	112
BQ.1.8	4824	3997
BQ.1.8.1	16	16
BQ.1.8.2	811	732
BQ.1.9	161	161
BQ.1_17039	19243	12514
BQ.2	103	103
BR.1	491	327
BR.1.2	164	164
BR.2	777	82
BR.2.1	695	695
BR.3	53	53
BR.4	19	19
BR.5	28	21
BR.5.1	7	7
BS.1	68	15
BS.1.1	53	53
BT.1	110	110
BT.2	303	303
BU.1	540	540
BU.2	94	94
BU.3	200	200
BV.1	109	109
BV.2	100	100
BW.1	897	208
BW.1.1	682	369
BW.1.1.1	199	199
BW.1.1.2	114	114
BW.1.2	7	7
BY.1	468	361
BY.1.1	50	2
BY.1.1.1	48	48
BY.1.2	46	46
BZ.1	128	128
BZ.2	120	120
C.1	22	13
C.12	124	124
C.13	4	4
C.14	23	23
C.16	324	324
C.17	1761	533
C.18	31	31
C.2	43	8
C.2.1	35	35
C.20	11	11
C.23	122	122
C.25	2	2
C.26	15	15
C.27	59	59
C.28	14	14
C.3	139	139
C.30	605	600
C.30.1	5	5
C.31	14	14
C.32	3	3
C.33	3	3
C.35	562	562
C.36	1845	84
C.36.1	4	4
C.36.2	27	27
C.36.3	1197	958
C.36.3.1	239	239
C.37	1402	1301
C.37.1	101	101
C.38	71	71
C.4	14	14
C.5	11	11
C.8	3	3
CA.1	198	198
CA.2	20	20
CA.3	339	125
CA.3.1	214	214
CA.5	94	94
CA.6	11	11
CA.7	333	333
CB.1	214	214
CC.1	121	121
CD.1	55	55
CD.2	107	107
CE.1	240	240
CF.1	75	75
CG.1	215	215
CH.1	28759	8
CH.1.1	28751	9543
CH.1.1.1	9775	3107
CH.1.1.10	397	397
CH.1.1.11	1049	472
CH.1.1.12	747	501
CH.1.1.13	287	287
CH.1.1.14	205	205
CH.1.1.15	278	278
CH.1.1.16	148	148
CH.1.1.17	524	36
CH.1.1.18	162	162
CH.1.1.19	979	828
CH.1.1.2	1621	1621
CH.1.1.20	52	52
CH.1.1.21	55	55
CH.1.1.22	25	25
CH.1.1.23	43	43
CH.1.1.24	246	246
CH.1.1.25	588	588
CH.1.1.26	46	46
CH.1.1.27	46	46
CH.1.1.28	229	229
CH.1.1.29	5	5
CH.1.1.3	141	136
CH.1.1.30	39	39
CH.1.1.32	95	95
CH.1.1.4	9	9
CH.1.1.5	310	310
CH.1.1.6	551	551
CH.1.1.7	71	71
CH.1.1.8	241	241
CH.1.1.9	232	232
CH.2	6	6
CH.3	6	1
CH.3.1	5	5
CJ.1	397	8
CJ.1.1	25	25
CJ.1.2	327	327
CJ.1.3	37	33
CJ.1.3.1	2	2
CJ.1.3.2	2	2
CK.1	1646	697
CK.1.1.2	4	4
CK.1.2	56	56
CK.1.3	134	134
CK.1.4	472	472
CK.1.5	283	283
CK.2	1418	178
CK.2.1	1240	207
CK.2.1.1	1033	929
CK.3	208	208
CL.1	1401	1078
CL.1.1	240	240
CL.1.2	22	22
CL.1.3	61	61
CM.1	26	26
CM.10	56	56
CM.11	16	16
CM.12	28	28
CM.2	532	528
CM.2.1	4	4
CM.3	24	24
CM.4	137	115
CM.4.1	22	22
CM.5	155	72
CM.5.1	10	10
CM.5.2	73	73
CM.6	32	10
CM.6.1	22	22
CM.7	14	6
CM.7.1	8	3
CM.7.1.1	5	5
CM.8	460	5
CM.8.1	455	362
CM.8.1.1	20	1
CM.8.1.2	14	14
CM.8.1.3	34	34
CM.8.1.4	25	25
CM.9	30	30
CN.1	525	525
CN.2	334	334
CP.1	632	449
CP.1.1	94	94
CP.1.2	56	56
CP.1.3	33	33
CP.2	44	44
CP.3	13	13
CP.4	53	53
CP.5	78	78
CP.6	21	21
CP.7	2	2
CP.8	147	147
CQ.1	291	191
CQ.1.1	100	100
CQ.2	639	639
CR.1	874	308
CR.1.1	523	523
CR.1.3	43	43
CR.2	54	54
CS.1	7	7
CT.1	34	34
CU.1	6	6
CV.1	202	202
CV.2	11	11
CW.1	8	8
CY.1	32	32
CY.2	6	6
CZ.1	2	2
CZ.2	142	142
D.2	11458	11458
D.3	151	151
D.4	12	12
D.5	3	3
DA.1	34	34
DB.1	147	147
DB.2	21	21
DC.1	110	110
DE.1	145	145
DE.2	57	57
DF.1	849	457
DF.1.1	392	392
DG.1	104	104
DH.1	105	105
DJ.1	147	11
DJ.1.1	123	75
DJ.1.1.1	48	48
DJ.1.2	4	4
DJ.1.3	9	9
DK.1	121	121
DL.1	159	159
DM.1	39	39
DN.1	1337	406
DN.1.1	931	635
DN.1.1.1	50	50
DN.1.1.2	42	42
DN.1.1.3	119	119
DN.1.1.4	85	85
DN.2	1566	1566
DN.3	37	16
DN.3.1	21	21
DP.1	19	19
DQ.1	187	187
DR.1	202	202
DR.2	112	112
DS.1	70	70
DS.2	324	324
DS.3	565	565
DT.1	80	80
DT.2	666	666
DT.3	62	62
DU.1	1006	1006
DV.1	1070	246
DV.1.1	824	824
DV.2	217	217
DV.3	539	486
DV.3.1	53	53
DV.4	12	12
DV.5	62	62
DV.6	3438	3360
DV.6.1	38	38
DV.6.2	40	40
DV.7	1321	252
DV.7.1	1027	208
DV.7.1.1	18	18
DV.7.1.2	260	230
DV.7.1.3	48	48
DV.7.1.4	217	217
DV.7.1.5	258	247
DV.7.1.6	10	10
DV.7.1.7	8	8
DV.7.2	42	42
DV.8	9	9
DW.1	2	2
DY.1	1075	1008
DY.1.1	67	67
DY.2	1796	1796
DY.3	574	574
DY.4	1327	1327
DZ.1	36	36
DZ.2	30	30
EA.1	278	278
EA.2	24	24
EB.1	167	167
EC.1	438	261
EC.1.1	177	177
ED.1	27	27
ED.2	386	386
ED.3	138	138
EE.1	444	444
EE.2	411	411
EE.3	90	90
EE.4	77	77
EE.5	169	169
EF.1	2685	1150
EF.1.1	1125	944
EF.1.1.1	181	70
EF.1.2	164	164
EF.1.3	246	36
EF.2	795	795
EF.3	41	41
EG.1	2909	1402
EG.1.1	2	2
EG.1.2	148	148
EG.1.3	490	490
EG.1.4	367	362
EG.1.4.1	5	5
EG.1.5	55	55
EG.1.6	322	322
EG.1.7	16	16
EG.1.8	107	107
EG.10	700	10
EG.10.1	690	178
EG.10.1.1	512	512
EG.11	21	21
EG.12	11	11
EG.13	223	223
EG.14	165	165
EG.2	416	396
EG.2.2	9	9
EG.2.4	2	2
EG.2.5	9	9
EG.3	138	138
EG.4	545	417
EG.4.1	36	36
EG.4.2	54	54
EG.4.3	10	10
EG.4.4	14	14
EG.4.5	14	14
EG.5	66814	74
EG.5.1	65783	4905
EG.5.1.1	27359	14360
EG.5.1.10	24	24
EG.5.1.11	210	5
EG.5.1.12	67	67
EG.5.1.13	167	167
EG.5.1.14	536	536
EG.5.1.15	272	272
EG.5.1.16	782	782
EG.5.1.17	27	27
EG.5.1.18	39	39
EG.5.1.19	362	362
EG.5.1.2	123	123
EG.5.1.3	7483	4221
EG.5.1.4	2921	2806
EG.5.1.5	171	171
EG.5.1.6	18740	2417
EG.5.1.7	142	142
EG.5.1.8	1179	914
EG.5.1.9	189	189
EG.5.2	957	467
EG.5.2.1	302	302
EG.5.2.2	60	60
EG.5.2.3	100	100
EG.5.2.4	28	17
EG.6	1493	18
EG.6.1	1475	1380
EG.6.1.1	79	79
EG.6.1.2	16	16
EG.7	157	157
EG.8	71	71
EG.9	107	17
EG.9.1	90	90
EH.1	36	36
EJ.1	34	34
EJ.2	99	99
EK.2	403	250
EK.2.1	153	153
EK.3	145	145
EK.4	42	42
EL.1	210	210
EM.1	655	655
EN.1	216	212
EN.1.1	4	4
EP.1	4	1
EP.1.1	3	1
EP.1.1.1	2	2
EP.2	9	9
EQ.1	70	70
ER.1	395	240
ER.1.1	155	155
ES.1	41	41
ET.1	190	190
EU.1	1239	75
EU.1.1	1164	828
EU.1.1.1	240	240
EU.1.1.2	16	16
EU.1.1.3	80	80
EV.1	12	12
EW.1	42	42
EW.2	149	149
EW.3	3	3
EY.1	111	111
EZ.1	43	43
FA.1	54	54
FA.2	77	77
FB.1	33	33
FB.2	72	72
FC.1	6	6
FD.1	489	160
FD.1.1	329	329
FD.2	2117	2117
FD.3	41	41
FD.4	741	664
FD.4.1	77	77
FD.5	140	62
FD.5.1	78	78
FE.1	1617	71
FE.1.1	1051	528
FE.1.1.1	439	100
FE.1.1.2	55	55
FE.1.1.3	84	84
FE.1.1.4	10	10
FE.1.1.5	19	19
FE.1.2	411	411
FF.1	79	79
FG.1	46	46
FG.2	111	111
FG.3	134	134
FH.1	198	198
FJ.1	151	151
FK.1	488	17
FK.1.1	248	210
FK.1.1.2	38	38
FK.1.2	160	21
FK.1.2.1	116	116
FK.1.2.2	23	23
FK.1.3	31	8
FK.1.3.2	23	16
FK.1.4.1	5	5
FK.1.5	27	27
FL.1	11109	288
FL.1.1	112	112
FL.1.2	20	20
FL.1.3	92	92
FL.1.4	43	43
FL.1.5	10509	197
FL.1.5.1	9737	8028
FL.1.5.2	575	72
FL.1.6	19	19
FL.1.8	26	26
FL.10	804	592
FL.10.1	186	186
FL.10.2	14	14
FL.10.3	12	12
FL.11	47	47
FL.12	268	268
FL.13	833	274
FL.13.1	232	232
FL.13.2	130	130
FL.13.3	156	108
FL.13.3.1	48	48
FL.13.4	37	12
FL.13.4.1	25	25
FL.13.5	4	4
FL.14	43	43
FL.15	920	472
FL.15.1	280	1
FL.15.1.1	279	272
FL.15.2	61	61
FL.15.3	73	73
FL.15.4	34	34
FL.16	429	429
FL.17	80	59
FL.17.1	3	3
FL.17.2	18	18
FL.18	288	258
FL.18.1	30	26
FL.18.1.1	4	4
FL.19	91	19
FL.19.1	72	72
FL.2	3571	1307
FL.2.1	250	250
FL.2.2	22	7
FL.2.2.1	15	15
FL.2.3	1411	1371
FL.2.3.1	40	40
FL.2.4	335	335
FL.2.5	99	99
FL.2.6	29	29
FL.2.7	118	67
FL.2.7.1	51	51
FL.20	683	187
FL.20.1	344	344
FL.20.2	152	152
FL.21	154	39
FL.21.1	8	8
FL.21.2	107	107
FL.22	126	126
FL.23	48	14
FL.23.1	31	31
FL.23.2.1	3	3
FL.24	250	174
FL.24.1	76	76
FL.25	205	205
FL.26	79	73
